UserName,OJ,Problem_Name,Result,Language,Submission_Time
mursalin_18,UVA,572,Accepted,"C++11 5.3.0","2020-03-03 06:30:20"
mursalin_18,UVA,572,"Wrong answer","C++11 5.3.0","2020-03-03 06:04:46"
mursalin_18,UVA,12004,Accepted,"C++11 5.3.0","2020-03-02 18:59:42"
mursalin_18,UVA,12004,"Wrong answer","C++11 5.3.0","2020-03-02 18:56:53"
mursalin_18,UVA,11559,Accepted,"C++11 5.3.0","2020-03-02 18:45:28"
mursalin_18,UVA,10004,Accepted,"C++11 5.3.0","2019-11-24 10:27:11"
mursalin_18,UVA,10664,Accepted,"C++11 5.3.0","2019-11-19 06:14:36"
mursalin_18,LightOJ,1119,Accepted,C++,"2019-11-03 08:09:18"
mursalin_18,LightOJ,1255,Accepted,C++,"2019-10-27 04:39:10"
mursalin_18,LightOJ,1255,"Wrong Answer",C++,"2019-10-27 04:35:31"
mursalin_18,LightOJ,1255,"Wrong Answer",C++,"2019-10-27 04:34:28"
mursalin_18,LightOJ,1255,"Time Limit Exceeded",C++,"2019-10-27 04:33:09"
mursalin_18,CodeForces,1248B,"Wrong answer on test 4","GNU G++17 7.3.0","2019-10-25 11:06:13"
mursalin_18,UVA,488,Accepted,"C++11 5.3.0","2019-10-25 10:48:57"
mursalin_18,UVA,488,"Wrong answer","C++11 5.3.0","2019-10-25 10:12:09"
mursalin_18,UVA,488,"Wrong answer","C++11 5.3.0","2019-10-25 10:06:14"
mursalin_18,UVA,488,"Presentation error","C++11 5.3.0","2019-10-25 09:32:14"
mursalin_18,CodeForces,913A,Accepted,"GNU G++17 7.3.0","2019-10-25 06:39:16"
mursalin_18,LightOJ,1354,Accepted,C++,"2019-10-19 18:01:33"
mursalin_18,LightOJ,1387,Accepted,C++,"2019-10-19 16:35:01"
